5
5
10
12
10
29	29	29	29	29	
4.97	3.89	3.84	2.36	1.84	
20	20	20	20	20	
2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	
111	50	144	109	50	
134	129	89	120	137	
96	118	129	98	53	
51	125	53	131	116	
92	130	103	86	67	
1.5
2.485	2.485	2.485	2.485	2.485	
1.945	1.945	1.945	1.945	1.945	
1.92	1.92	1.92	1.92	1.92	
1.18	1.18	1.18	1.18	1.18	
0.92	0.92	0.92	0.92	0.92	
1.2425	1.2425	1.2425	1.2425	1.2425	
0.9725	0.9725	0.9725	0.9725	0.9725	
0.96	0.96	0.96	0.96	0.96	
0.59	0.59	0.59	0.59	0.59	
0.46	0.46	0.46	0.46	0.46	
