5
10
10
12
10
24	24	24	24	24	24	24	24	24	24	
2.55	2.35	2.23	1.87	0.96	
20	20	20	20	20	20	20	20	20	20	
2	2	2	2	2	2	2	2	2	2	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
11	11	11	11	11	11	11	11	11	11	
110	66	79	53	129	113	123	138	104	124	
146	75	96	105	58	117	83	81	55	133	
118	99	73	90	90	73	64	133	132	94	
97	81	141	148	133	123	139	82	126	107	
89	76	112	132	131	70	130	68	82	98	
2
1.275	1.275	1.275	1.275	1.275	1.275	1.275	1.275	1.275	1.275	
1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	1.175	
1.115	1.115	1.115	1.115	1.115	1.115	1.115	1.115	1.115	1.115	
0.935	0.935	0.935	0.935	0.935	0.935	0.935	0.935	0.935	0.935	
0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	
0.6375	0.6375	0.6375	0.6375	0.6375	0.6375	0.6375	0.6375	0.6375	0.6375	
0.5875	0.5875	0.5875	0.5875	0.5875	0.5875	0.5875	0.5875	0.5875	0.5875	
0.5575	0.5575	0.5575	0.5575	0.5575	0.5575	0.5575	0.5575	0.5575	0.5575	
0.4675	0.4675	0.4675	0.4675	0.4675	0.4675	0.4675	0.4675	0.4675	0.4675	
0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	
